task_id,condition,selected_record_id,ground_truth_record_id,selection_correct_strict,selection_correct_lenient
TASK-001,C1_free_text,INC-0060,INC-0025,0,0
TASK-002,C1_free_text,INC-0162,INC-0162,1,1
TASK-003,C1_free_text,SOP-0049,INC-0081,0,1
TASK-004,C1_free_text,SOP-0043,INC-0063,0,0
TASK-005,C1_free_text,INC-0106,INC-0071,0,0
TASK-006,C1_free_text,INC-0176,INC-0112,0,1
TASK-007,C1_free_text,INC-0090,INC-0041,0,0
TASK-008,C1_free_text,INC-0155,INC-0005,0,0
TASK-009,C1_free_text,INC-0045,INC-0173,0,1
TASK-010,C1_free_text,INC-0092,INC-0028,0,1
TASK-011,C1_free_text,INC-0026,INC-0171,0,0
TASK-012,C1_free_text,INC-0169,INC-0040,0,0
TASK-013,C1_free_text,SOP-0022,INC-0102,0,0
TASK-014,C1_free_text,INC-0117,INC-0117,1,1
TASK-015,C1_free_text,INC-0012,INC-0147,0,0
TASK-016,C1_free_text,INC-0037,INC-0101,0,1
TASK-017,C1_free_text,INC-0003,INC-0003,1,1
TASK-018,C1_free_text,INC-0057,INC-0057,1,1
TASK-019,C1_free_text,SOP-0048,INC-0180,0,0
TASK-020,C1_free_text,INC-0097,INC-0161,0,1
TASK-021,C1_free_text,INC-0142,INC-0142,1,1
TASK-022,C1_free_text,INC-0054,INC-0054,1,1
TASK-023,C1_free_text,SOP-0005,INC-0009,0,1
TASK-024,C1_free_text,INC-0110,INC-0110,1,1
TASK-025,C1_free_text,INC-0082,INC-0082,1,1
TASK-026,C1_free_text,INC-0124,INC-0060,0,1
TASK-027,C1_free_text,INC-0159,INC-0159,1,1
TASK-028,C1_free_text,INC-0006,INC-0134,0,1
TASK-029,C1_free_text,VND-0019,INC-0075,0,0
TASK-030,C1_free_text,INC-0013,INC-0172,0,0
TASK-031,C1_free_text,INC-0058,INC-0122,0,1
TASK-032,C1_free_text,INC-0137,INC-0085,0,0
TASK-033,C1_free_text,INC-0032,INC-0032,1,1
TASK-034,C1_free_text,INC-0157,INC-0157,1,1
TASK-035,C1_free_text,INC-0114,INC-0114,1,1
TASK-036,C1_free_text,INC-0153,INC-0094,0,0
TASK-037,C1_free_text,INC-0103,INC-0103,1,1
TASK-038,C1_free_text,VND-0019,INC-0001,0,0
TASK-039,C1_free_text,INC-0026,INC-0154,0,1
TASK-040,C1_free_text,INC-0010,INC-0010,1,1
TASK-001,C2_metadata_filtered,SOP-0048,INC-0025,0,1
TASK-002,C2_metadata_filtered,INC-0162,INC-0162,1,1
TASK-003,C2_metadata_filtered,SOP-0049,INC-0081,0,1
TASK-004,C2_metadata_filtered,INC-0063,INC-0063,1,1
TASK-005,C2_metadata_filtered,INC-0071,INC-0071,1,1
TASK-006,C2_metadata_filtered,INC-0176,INC-0112,0,1
TASK-007,C2_metadata_filtered,INC-0105,INC-0041,0,0
TASK-008,C2_metadata_filtered,INC-0133,INC-0005,0,0
TASK-009,C2_metadata_filtered,INC-0045,INC-0173,0,1
TASK-010,C2_metadata_filtered,INC-0092,INC-0028,0,1
TASK-011,C2_metadata_filtered,INC-0107,INC-0171,0,1
TASK-012,C2_metadata_filtered,INC-0104,INC-0040,0,0
TASK-013,C2_metadata_filtered,INC-0102,INC-0102,1,1
TASK-014,C2_metadata_filtered,INC-0117,INC-0117,1,1
TASK-015,C2_metadata_filtered,INC-0147,INC-0147,1,1
TASK-016,C2_metadata_filtered,INC-0037,INC-0101,0,1
TASK-017,C2_metadata_filtered,INC-0003,INC-0003,1,1
TASK-018,C2_metadata_filtered,INC-0057,INC-0057,1,1
TASK-019,C2_metadata_filtered,SOP-0006,INC-0180,0,1
TASK-020,C2_metadata_filtered,INC-0097,INC-0161,0,1
TASK-021,C2_metadata_filtered,INC-0142,INC-0142,1,1
TASK-022,C2_metadata_filtered,INC-0054,INC-0054,1,1
TASK-023,C2_metadata_filtered,SOP-0005,INC-0009,0,1
TASK-024,C2_metadata_filtered,INC-0110,INC-0110,1,1
TASK-025,C2_metadata_filtered,INC-0082,INC-0082,1,1
TASK-026,C2_metadata_filtered,INC-0124,INC-0060,0,1
TASK-027,C2_metadata_filtered,INC-0159,INC-0159,1,1
TASK-028,C2_metadata_filtered,INC-0006,INC-0134,0,1
TASK-029,C2_metadata_filtered,SOP-0019,INC-0075,0,1
TASK-030,C2_metadata_filtered,SOP-0042,INC-0172,0,1
TASK-031,C2_metadata_filtered,INC-0058,INC-0122,0,1
TASK-032,C2_metadata_filtered,INC-0085,INC-0085,1,1
TASK-033,C2_metadata_filtered,INC-0032,INC-0032,1,1
TASK-034,C2_metadata_filtered,INC-0157,INC-0157,1,1
TASK-035,C2_metadata_filtered,INC-0114,INC-0114,1,1
TASK-036,C2_metadata_filtered,INC-0094,INC-0094,1,1
TASK-037,C2_metadata_filtered,INC-0103,INC-0103,1,1
TASK-038,C2_metadata_filtered,INC-0065,INC-0001,0,1
TASK-039,C2_metadata_filtered,INC-0026,INC-0154,0,1
TASK-040,C2_metadata_filtered,INC-0010,INC-0010,1,1
TASK-001,C3_hybrid,SOP-0048,INC-0025,0,1
TASK-002,C3_hybrid,INC-0162,INC-0162,1,1
TASK-003,C3_hybrid,SOP-0049,INC-0081,0,1
TASK-004,C3_hybrid,INC-0063,INC-0063,1,1
TASK-005,C3_hybrid,INC-0071,INC-0071,1,1
TASK-006,C3_hybrid,INC-0176,INC-0112,0,1
TASK-007,C3_hybrid,INC-0105,INC-0041,0,0
TASK-008,C3_hybrid,INC-0005,INC-0005,1,1
TASK-009,C3_hybrid,INC-0045,INC-0173,0,1
TASK-010,C3_hybrid,INC-0028,INC-0028,1,1
TASK-011,C3_hybrid,INC-0107,INC-0171,0,1
TASK-012,C3_hybrid,INC-0040,INC-0040,1,1
TASK-013,C3_hybrid,INC-0102,INC-0102,1,1
TASK-014,C3_hybrid,INC-0117,INC-0117,1,1
TASK-015,C3_hybrid,INC-0147,INC-0147,1,1
TASK-016,C3_hybrid,INC-0037,INC-0101,0,1
TASK-017,C3_hybrid,INC-0003,INC-0003,1,1
TASK-018,C3_hybrid,INC-0057,INC-0057,1,1
TASK-019,C3_hybrid,SOP-0006,INC-0180,0,1
TASK-020,C3_hybrid,INC-0097,INC-0161,0,1
TASK-021,C3_hybrid,INC-0142,INC-0142,1,1
TASK-022,C3_hybrid,INC-0054,INC-0054,1,1
TASK-023,C3_hybrid,SOP-0005,INC-0009,0,1
TASK-024,C3_hybrid,INC-0110,INC-0110,1,1
TASK-025,C3_hybrid,INC-0082,INC-0082,1,1
TASK-026,C3_hybrid,SOP-0010,INC-0060,0,1
TASK-027,C3_hybrid,INC-0159,INC-0159,1,1
TASK-028,C3_hybrid,INC-0006,INC-0134,0,1
TASK-029,C3_hybrid,INC-0075,INC-0075,1,1
TASK-030,C3_hybrid,INC-0172,INC-0172,1,1
TASK-031,C3_hybrid,INC-0058,INC-0122,0,1
TASK-032,C3_hybrid,INC-0085,INC-0085,1,1
TASK-033,C3_hybrid,INC-0032,INC-0032,1,1
TASK-034,C3_hybrid,INC-0157,INC-0157,1,1
TASK-035,C3_hybrid,INC-0114,INC-0114,1,1
TASK-036,C3_hybrid,INC-0094,INC-0094,1,1
TASK-037,C3_hybrid,INC-0103,INC-0103,1,1
TASK-038,C3_hybrid,INC-0001,INC-0001,1,1
TASK-039,C3_hybrid,INC-0026,INC-0154,0,1
TASK-040,C3_hybrid,INC-0010,INC-0010,1,1
TASK-001,C4_generic_taxonomy,INC-0060,INC-0025,0,0
TASK-002,C4_generic_taxonomy,INC-0162,INC-0162,1,1
TASK-003,C4_generic_taxonomy,INC-0025,INC-0081,0,0
TASK-004,C4_generic_taxonomy,INC-0063,INC-0063,1,1
TASK-005,C4_generic_taxonomy,INC-0106,INC-0071,0,0
TASK-006,C4_generic_taxonomy,INC-0176,INC-0112,0,1
TASK-007,C4_generic_taxonomy,INC-0090,INC-0041,0,0
TASK-008,C4_generic_taxonomy,INC-0155,INC-0005,0,0
TASK-009,C4_generic_taxonomy,INC-0045,INC-0173,0,1
TASK-010,C4_generic_taxonomy,INC-0092,INC-0028,0,1
TASK-011,C4_generic_taxonomy,INC-0026,INC-0171,0,0
TASK-012,C4_generic_taxonomy,INC-0027,INC-0040,0,0
TASK-013,C4_generic_taxonomy,INC-0164,INC-0102,0,0
TASK-014,C4_generic_taxonomy,INC-0117,INC-0117,1,1
TASK-015,C4_generic_taxonomy,INC-0012,INC-0147,0,0
TASK-016,C4_generic_taxonomy,INC-0101,INC-0101,1,1
TASK-017,C4_generic_taxonomy,INC-0003,INC-0003,1,1
TASK-018,C4_generic_taxonomy,INC-0057,INC-0057,1,1
TASK-019,C4_generic_taxonomy,INC-0164,INC-0180,0,0
TASK-020,C4_generic_taxonomy,INC-0097,INC-0161,0,1
TASK-021,C4_generic_taxonomy,INC-0142,INC-0142,1,1
TASK-022,C4_generic_taxonomy,INC-0054,INC-0054,1,1
TASK-023,C4_generic_taxonomy,INC-0009,INC-0009,1,1
TASK-024,C4_generic_taxonomy,INC-0006,INC-0110,0,0
TASK-025,C4_generic_taxonomy,INC-0082,INC-0082,1,1
TASK-026,C4_generic_taxonomy,INC-0096,INC-0060,0,0
TASK-027,C4_generic_taxonomy,INC-0159,INC-0159,1,1
TASK-028,C4_generic_taxonomy,INC-0006,INC-0134,0,1
TASK-029,C4_generic_taxonomy,INC-0075,INC-0075,1,1
TASK-030,C4_generic_taxonomy,INC-0077,INC-0172,0,0
TASK-031,C4_generic_taxonomy,INC-0058,INC-0122,0,1
TASK-032,C4_generic_taxonomy,INC-0137,INC-0085,0,0
TASK-033,C4_generic_taxonomy,INC-0032,INC-0032,1,1
TASK-034,C4_generic_taxonomy,INC-0157,INC-0157,1,1
TASK-035,C4_generic_taxonomy,INC-0114,INC-0114,1,1
TASK-036,C4_generic_taxonomy,INC-0153,INC-0094,0,0
TASK-037,C4_generic_taxonomy,INC-0103,INC-0103,1,1
TASK-038,C4_generic_taxonomy,INC-0065,INC-0001,0,1
TASK-039,C4_generic_taxonomy,INC-0026,INC-0154,0,1
TASK-040,C4_generic_taxonomy,INC-0010,INC-0010,1,1
