task_id,scenario,technology_domain,incident_type,severity,region,affected_system,root_cause,ground_truth_record_id,secondary_relevant_record_ids
TASK-001,An incident ticket has been raised for a synchronization problem affecting a control-loop element. The behaviour began with a confirmed loss of one transport leg; first-line engineers want the most relevant prior record before they escalate.,SCADA,Synchronization Failure,S2,Northern,RTU R-2,Link Failure,INC-0025,SOP-0048|LL-0011|INC-0089
TASK-002,The NMS is currently flagging a synchronization problem affecting an MW radio at a relay site in the Eastern region. The behaviour began with no obvious recent change; first-line engineers want the most relevant prior record before they escalate.,Microwave,Synchronization Failure,S3,Eastern,MW Radio MR-90,Unknown,INC-0162,INC-0034|INC-0098
TASK-003,A field team has escalated a synchronization problem affecting a packet-core node (severity S2). The behaviour began shortly after a configuration change; first-line engineers want the most relevant prior record before they escalate.,Core Network,Synchronization Failure,S2,Northern,MME E-53,Configuration Error,INC-0081,SOP-0049|INC-0017|INC-0145
TASK-004,The NMS is currently flagging loss of connectivity affecting a microwave link (severity S2). The behaviour began under sustained peak load; first-line engineers want the most relevant prior record before they escalate.,Microwave,Connectivity Loss,S2,Central,MW Link MW-33,Capacity Saturation,INC-0063,INC-0127
TASK-005,A field team has escalated a sustained critical alarm affecting the network management platform (severity S2). The behaviour began after a card replacement that appears unstable; first-line engineers want the most relevant prior record before they escalate.,NMS/OSS,Alarm,S2,Northern,OSS Collector OC-43,Hardware Failure,INC-0071,LL-0003|INC-0007|INC-0135
TASK-006,A field team has escalated a hard service outage affecting a DWDM amplifier. The behaviour began while a power-room alarm was active; first-line engineers want the most relevant prior record before they escalate.,DWDM,Outage,S2,Western,ROADM R-34,Power Issue,INC-0112,LL-0007|INC-0048|INC-0176
TASK-007,The NMS is currently flagging post-change instability affecting a DWDM amplifier (severity S3). The behaviour began under sustained peak load; first-line engineers want the most relevant prior record before they escalate.,DWDM,Configuration Issue,S3,Southern,OTN Shelf OTN-2,Capacity Saturation,INC-0041,VND-0002|VND-0006|VND-0027|VND-0034|VND-0037
TASK-008,Operations is reporting a hard service outage affecting an OLT shelf in the Southern region. The behaviour began with a confirmed loss of one transport leg; first-line engineers want the most relevant prior record before they escalate.,Access Network,Outage,S2,Southern,BTS B-82,Link Failure,INC-0005,SOP-0045|LL-0027|INC-0069
TASK-009,The NMS is currently flagging performance issues affecting an MW radio at a relay site (severity S2). The behaviour began matching a known vendor advisory profile; first-line engineers want the most relevant prior record before they escalate.,Microwave,Performance Issue,S2,Southern,Microwave Hop H-77,Vendor Bug,INC-0173,SOP-0047|LL-0025|INC-0045
TASK-010,The NMS is currently flagging intermittent polling failure affecting a radio access site. The behaviour began shortly after a firmware upgrade window; first-line engineers want the most relevant prior record before they escalate.,Access Network,Polling Failure,S2,Eastern,OLT O-59,Firmware Issue,INC-0028,INC-0092|INC-0156
TASK-011,A field team has escalated performance issues affecting an LSP-terminating element in the Eastern region (severity S1). The behaviour began with no obvious recent change; first-line engineers want the most relevant prior record before they escalate.,IP/MPLS,Performance Issue,S1,Eastern,Core Router CR-86,Unknown,INC-0171,SOP-0025|LL-0012|INC-0043|INC-0107
TASK-012,An incident ticket has been raised for performance issues affecting an OLT shelf in the Western region. The behaviour began shortly after a configuration change; first-line engineers want the most relevant prior record before they escalate.,Access Network,Performance Issue,S3,Western,BTS B-57,Configuration Error,INC-0040,SOP-0024|LL-0005
TASK-013,The NMS is currently flagging service degradation affecting an LSP-terminating element. The behaviour began while a power-room alarm was active; first-line engineers want the most relevant prior record before they escalate.,IP/MPLS,Degradation,S3,Eastern,PE-Router PE-98,Power Issue,INC-0102,SOP-0041|LL-0010|INC-0038|INC-0166
TASK-014,Operations is reporting intermittent polling failure affecting an optical transport shelf. The behaviour began after a card replacement that appears unstable; first-line engineers want the most relevant prior record before they escalate.,DWDM,Polling Failure,S1,Northern,OTN Shelf OTN-45,Hardware Failure,INC-0117,SOP-0039|INC-0053
TASK-015,A field team has escalated intermittent polling failure affecting a microwave hop in the Southern region (severity S1). The behaviour began after a card replacement that appears unstable; first-line engineers want the most relevant prior record before they escalate.,Microwave,Polling Failure,S1,Southern,MW Link MW-5,Hardware Failure,INC-0147,SOP-0015|INC-0019
TASK-016,An incident ticket has been raised for performance issues affecting the fault-management feed in the Central region (severity S3). The behaviour began while a power-room alarm was active; first-line engineers want the most relevant prior record before they escalate.,NMS/OSS,Performance Issue,S3,Central,NMS Node N-7,Power Issue,INC-0101,SOP-0007|INC-0037
TASK-017,An incident ticket has been raised for a sustained critical alarm affecting a power-room rectifier. The behaviour began matching a known vendor advisory profile; first-line engineers want the most relevant prior record before they escalate.,Power Systems,Alarm,S3,Eastern,Rectifier P-17,Vendor Bug,INC-0003,SOP-0030|LL-0030|INC-0067
TASK-018,The NMS is currently flagging post-change instability affecting a microwave link in the Northern region (severity S3). The behaviour began shortly after a firmware upgrade window; first-line engineers want the most relevant prior record before they escalate.,Microwave,Configuration Issue,S3,Northern,Microwave Hop H-46,Firmware Issue,INC-0057,SOP-0021|VND-0013|VND-0018
TASK-019,An incident ticket has been raised for a synchronization problem affecting a UPS plant (severity S1). The behaviour began shortly after a configuration change; first-line engineers want the most relevant prior record before they escalate.,Power Systems,Synchronization Failure,S1,Northern,Battery Bank BB-24,Configuration Error,INC-0180,SOP-0006|INC-0052|INC-0116
TASK-020,A field team has escalated a synchronization problem affecting an eNodeB in the Eastern region (severity S2). The behaviour began while a power-room alarm was active; first-line engineers want the most relevant prior record before they escalate.,Access Network,Synchronization Failure,S2,Eastern,BTS B-25,Power Issue,INC-0161,SOP-0029|INC-0033|INC-0097
TASK-021,Operations is reporting performance issues affecting a DC power bank in the Western region (severity S2). The behaviour began matching a known vendor advisory profile; first-line engineers want the most relevant prior record before they escalate.,Power Systems,Performance Issue,S2,Western,Battery Bank BB-76,Vendor Bug,INC-0142,SOP-0001|INC-0014|INC-0078
TASK-022,We are tracking a sustained critical alarm affecting an OTN line card in the Western region. The behaviour began while a power-room alarm was active; first-line engineers want the most relevant prior record before they escalate.,DWDM,Alarm,S1,Western,OTN Shelf OTN-20,Power Issue,INC-0054,SOP-0004|LL-0006
TASK-023,"On shift, engineers are seeing intermittent polling failure affecting a remote SCADA controller (severity S2). The behaviour began after a card replacement that appears unstable; first-line engineers want the most relevant prior record before they escalate.",SCADA,Polling Failure,S2,Northern,SCADA Gateway G-51,Hardware Failure,INC-0009,SOP-0005|LL-0008|INC-0073|INC-0137
TASK-024,We are tracking post-change instability affecting an MPLS PE in the Western region. The behaviour began with no obvious recent change; first-line engineers want the most relevant prior record before they escalate.,IP/MPLS,Configuration Issue,S2,Western,PE-Router PE-79,Unknown,INC-0110,SOP-0034|VND-0012|VND-0017|VND-0019|VND-0029
TASK-025,Operations is reporting a hard service outage affecting a microwave link in the Central region. The behaviour began while a power-room alarm was active; first-line engineers want the most relevant prior record before they escalate.,Microwave,Outage,S3,Central,Microwave Hop H-48,Power Issue,INC-0082,SOP-0032|INC-0018
TASK-026,The NMS is currently flagging performance issues affecting a remote SCADA controller (severity S1). The behaviour began while a power-room alarm was active; first-line engineers want the most relevant prior record before they escalate.,SCADA,Performance Issue,S1,Southern,RTU R-9,Power Issue,INC-0060,SOP-0010|INC-0124
TASK-027,The NMS is currently flagging intermittent polling failure affecting a DC power bank. The behaviour began under sustained peak load; first-line engineers want the most relevant prior record before they escalate.,Power Systems,Polling Failure,S2,Central,Rectifier P-20,Capacity Saturation,INC-0159,SOP-0014|LL-0001|INC-0031|INC-0095
TASK-028,An incident ticket has been raised for loss of connectivity affecting an MPLS PE in the Central region. The behaviour began shortly after a firmware upgrade window; first-line engineers want the most relevant prior record before they escalate.,IP/MPLS,Connectivity Loss,S2,Central,Router R-61,Firmware Issue,INC-0134,INC-0006|INC-0070
TASK-029,An incident ticket has been raised for a sustained critical alarm affecting an IP backbone node (severity S3). The behaviour began matching a known vendor advisory profile; first-line engineers want the most relevant prior record before they escalate.,IP/MPLS,Alarm,S3,Southern,PE-Router PE-41,Vendor Bug,INC-0075,SOP-0019|INC-0011
TASK-030,The NMS is currently flagging a synchronization problem affecting an IP backbone node. The behaviour began shortly after a configuration change; first-line engineers want the most relevant prior record before they escalate.,IP/MPLS,Synchronization Failure,S3,Eastern,Router R-32,Configuration Error,INC-0172,SOP-0042|LL-0026
TASK-031,The NMS is currently flagging loss of connectivity affecting an OTN line card (severity S2). The behaviour began after a card replacement that appears unstable; first-line engineers want the most relevant prior record before they escalate.,DWDM,Connectivity Loss,S2,Eastern,DWDM Node D-40,Hardware Failure,INC-0122,SOP-0027|INC-0058
TASK-032,The NMS is currently flagging performance issues affecting a serving gateway in the Southern region. The behaviour began with a confirmed loss of one transport leg; first-line engineers want the most relevant prior record before they escalate.,Core Network,Performance Issue,S3,Southern,MSC M-21,Link Failure,INC-0085,LL-0022|INC-0021|INC-0149
TASK-033,Operations is reporting a sustained critical alarm affecting an RTU under our supervisory control (severity S1). The behaviour began shortly after a firmware upgrade window; first-line engineers want the most relevant prior record before they escalate.,SCADA,Alarm,S1,Western,RTU R-85,Firmware Issue,INC-0032,SOP-0031|INC-0096|INC-0160
TASK-034,"On shift, engineers are seeing loss of connectivity affecting a UPS plant in the Northern region. The behaviour began while a power-room alarm was active; first-line engineers want the most relevant prior record before they escalate.",Power Systems,Connectivity Loss,S1,Northern,UPS U-11,Power Issue,INC-0157,LL-0019|INC-0029|INC-0093
TASK-035,An incident ticket has been raised for a hard service outage affecting a power-room rectifier in the Northern region. The behaviour began shortly after a firmware upgrade window; first-line engineers want the most relevant prior record before they escalate.,Power Systems,Outage,S2,Northern,Rectifier P-89,Firmware Issue,INC-0114,SOP-0033|INC-0050|INC-0178
TASK-036,A field team has escalated post-change instability affecting a remote SCADA controller in the Central region (severity S2). The behaviour began shortly after a firmware upgrade window; first-line engineers want the most relevant prior record before they escalate.,SCADA,Configuration Issue,S2,Central,RTU R-57,Firmware Issue,INC-0094,SOP-0040|VND-0005|VND-0007|VND-0025|VND-0033
TASK-037,A field team has escalated intermittent polling failure affecting the fault-management feed in the Northern region (severity S2). The behaviour began shortly after a firmware upgrade window; first-line engineers want the most relevant prior record before they escalate.,NMS/OSS,Polling Failure,S2,Northern,OSS Collector OC-69,Firmware Issue,INC-0103,LL-0013|INC-0039|INC-0167
TASK-038,Operations is reporting a hard service outage affecting an IP backbone node. The behaviour began shortly after a configuration change; first-line engineers want the most relevant prior record before they escalate.,IP/MPLS,Outage,S3,Western,PE-Router PE-69,Configuration Error,INC-0001,SOP-0008|INC-0065|INC-0129
TASK-039,"On shift, engineers are seeing performance issues affecting a ROADM site. The behaviour began matching a known vendor advisory profile; first-line engineers want the most relevant prior record before they escalate.",DWDM,Performance Issue,S3,Southern,DWDM Node D-63,Vendor Bug,INC-0154,SOP-0038|LL-0028|INC-0026|INC-0090
TASK-040,Operations is reporting post-change instability affecting an OSS collector (severity S2). The behaviour began shortly after a firmware upgrade window; first-line engineers want the most relevant prior record before they escalate.,NMS/OSS,Configuration Issue,S2,Northern,OSS Collector OC-96,Firmware Issue,INC-0010,SOP-0017|VND-0008
